Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric,137.2683,-85.645,0.0,top
C2,100nF,C_0805_2012Metric,137.2683,-88.6083,0.0,top
C3,4.7uF,C_0805_2012Metric,137.2683,-91.5717,0.0,top
C4,100nF,C_0805_2012Metric,137.2633,-94.535,180.0,top
C6,4.7uF,C_0805_2012Metric,147.3879,-86.0232,-90.0,top
IC1,MICROFJ-60035-TSV-TR,BGA36C100P6X6_613X613X67,147.3835,-91.3765,180.0,bottom
P1,Header-Male-2.54_2x2,PinHeader_2x03_P2.54mm_Vertical_SMD,142.875,-98.425,90.0,top
P2,Header-Male-2.54_2x2,PinHeader_2x03_P2.54mm_Vertical_SMD,151.13,-98.411,90.0,top
R1,100Ω,R_0805_2012Metric,140.97,-86.0025,90.0,top
R3,100Ω,R_0805_2012Metric,144.145,-86.0025,90.0,top
R4,10kΩ,R_0805_2012Metric,150.495,-86.0025,90.0,top
R5,10kΩ,R_0805_2012Metric,153.67,-86.0025,90.0,top
U1,TMP116xxDRV,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,157.2683,-90.325,0.0,top
U2,AT24CS01-STUM,SOT-23-5,157.4008,-85.965,90.0,top
